69,77,17,62,18,17,63,10,36,10
80,62,78,25,98,15,44,88,12,17
45,45,40,78,11,51,52,33,42,93
57,10,26,77,92,34,76,51,90,93
29,57,81,15,97,64,47,10,44,81
53,45,96,43,67,54,57,25,73,67
21,15,25,86,87,26,63,60,93,26
86,40,38,60,27,12,68,88,72,15
30,80,81,95,44,61,55,22,20,19
37,76,37,77,40,95,16,76,12,46
594,450,377,405,191,727,558,456,624,183
903,254,535,651,874,570,187,407,725,723
507,931,355,124,822,546,906,741,647,597
752,215,819,305,543,415,873,784,928,503
780,434,325,166,609,709,667,244,908,726
719,294,720,216,428,679,411,247,664,646
546,115,475,513,182,491,496,138,433,408
170,569,689,573,915,942,216,902,897,900
248,677,800,460,484,721,419,664,955,720
728,608,275,356,705,339,596,197,581,331
204,311,338,124,966,921,718,720,671,675
485,349,293,765,370,387,931,817,344,952
215,418,836,114,414,182,413,928,750,815
407,812,994,468,284,793,135,173,214,635
